text,type,options,is_required,is_active,group_id
"A criança chora facilmente?",simple,"[""Sim"", ""Não""]",false,true,90d21d07-bfe3-4a21-b585-a9fe9af100f7
"A criança foi planejada?",simple,"[""Sim"", ""Não""]",false,true,dbd5b5c9-184b-4681-8563-8d1347ba0eaf
"A criança pratica esportes?",simple,"[""Sim"", ""Não""]",false,true,90d21d07-bfe3-4a21-b585-a9fe9af100f7
"A mãe usou medicamentos na gravidez?",simple,"[""Sim"", ""Não""]",false,true,dbd5b5c9-184b-4681-8563-8d1347ba0eaf
"A união conjugal aconteceu em virtude da gravidez?",simple,"[""Sim"", ""Não""]",false,true,dbd5b5c9-184b-4681-8563-8d1347ba0eaf
"Aceita escovar os dentes com pasta?",simple,"[""Sim"", ""Não""]",false,true,aa47c691-ee6d-4441-8d38-49e5b64fb657
"Adaptou com papinhas?",simple,"[""Sim"", ""Não""]",false,true,90861630-c3f7-4915-af91-5718e032d49d
"Ajuda em alguma tarefa em casa?",simple,"[""Sim"", ""Não""]",false,true,54967b96-f0da-4638-81cd-f5efd9ccafde
"Anda na ponta dos pés?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Anda saltando?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Arrisca-se facilmente?",simple,"[""Sim"", ""Não""]",false,true,54967b96-f0da-4638-81cd-f5efd9ccafde
"Balbuciou antes de um ano?",simple,"[""Sim"", ""Não""]",false,true,5c79c52e-7509-44d8-86f2-ed013d6678be
"Brinca agitado e inquieto?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Brinca em praças e playgrows nos brinquedos de altura?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Cai da cama?",simple,"[""Sim"", ""Não""]",false,true,9bd470aa-6174-45b9-95d5-ecdc333aeab6
"Com qual idade aconteceu o desfralde noturno?",numeric,"[]",false,true,9bd470aa-6174-45b9-95d5-ecdc333aeab6
"Come frutas?",simple,"[""Sim"", ""Não""]",false,true,90861630-c3f7-4915-af91-5718e032d49d
"Come legumes cozidos?",simple,"[""Sim"", ""Não""]",false,true,90861630-c3f7-4915-af91-5718e032d49d
"Compartilha objetos?",simple,"[""Sim"", ""Não""]",false,true,82babeea-b0a6-4259-b8ce-a0e69a1150dd
"Compreende o que lê?",simple,"[""Sim"", ""Não""]",false,true,5c79c52e-7509-44d8-86f2-ed013d6678be
"Construiu frases antes de tres anos?",simple,"[""Sim"", ""Não""]",false,true,5c79c52e-7509-44d8-86f2-ed013d6678be
"Conversa com brinquedos e conversa sozinho(a) quando está brincando?",simple,"[""Sim"", ""Não""]",false,true,82babeea-b0a6-4259-b8ce-a0e69a1150dd
"Convive com outras crianças na familia?",simple,"[""Sim"", ""Não""]",false,true,82babeea-b0a6-4259-b8ce-a0e69a1150dd
"Convive com parentes?",simple,"[""Sim"", ""Não""]",false,true,82babeea-b0a6-4259-b8ce-a0e69a1150dd
"Costuma reproduzir a brincadeira de outra criança?",simple,"[""Sim"", ""Não""]",false,true,82babeea-b0a6-4259-b8ce-a0e69a1150dd
"Costuma terminar o que inicia?",simple,"[""Sim"", ""Não""]",false,true,54967b96-f0da-4638-81cd-f5efd9ccafde
"Deixa brincadeiras pela metade e muda para outra?",simple,"[""Sim"", ""Não""]",false,true,54967b96-f0da-4638-81cd-f5efd9ccafde
"Demonstra medos ou terror noturno?",simple,"[""Sim"", ""Não""]",false,true,9bd470aa-6174-45b9-95d5-ecdc333aeab6
"Derruba coisas com frequência?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Deseja a presença de outras crianças?",simple,"[""Sim"", ""Não""]",false,true,82babeea-b0a6-4259-b8ce-a0e69a1150dd
"Desequilibra com facilidade?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Desfraldou antes de três anos?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Dorme a noite toda?",simple,"[""Sim"", ""Não""]",false,true,9bd470aa-6174-45b9-95d5-ecdc333aeab6
"Dorme de fraldas?",simple,"[""Sim"", ""Não""]",false,true,9bd470aa-6174-45b9-95d5-ecdc333aeab6
"Durante a gestação ocorreu anemia?",simple,"[""Sim"", ""Não""]",false,true,dbd5b5c9-184b-4681-8563-8d1347ba0eaf
"Durante a gestação ocorreu diabetes?",simple,"[""Sim"", ""Não""]",false,true,dbd5b5c9-184b-4681-8563-8d1347ba0eaf
"Durante a gestação ocorreu herpes?",simple,"[""Sim"", ""Não""]",false,true,dbd5b5c9-184b-4681-8563-8d1347ba0eaf
"Durante a gestação ocorreu hipertensão arterial?",simple,"[""Sim"", ""Não""]",false,true,dbd5b5c9-184b-4681-8563-8d1347ba0eaf
"Engatinhou?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Entende lateralidade (alto/baixo, direito/esquerdo)?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Escolhe a textura dos alimentos?",simple,"[""Sim"", ""Não""]",false,true,90861630-c3f7-4915-af91-5718e032d49d
"Escreve cursivo?",simple,"[""Sim"", ""Não""]",false,true,6abde216-05b8-4399-9c82-9b6243637d7f
"Esquece coisas com facilidade?",simple,"[""Sim"", ""Não""]",false,true,54967b96-f0da-4638-81cd-f5efd9ccafde
"Evita brincar com coisas que sujam?",simple,"[""Sim"", ""Não""]",false,true,aa47c691-ee6d-4441-8d38-49e5b64fb657
"Existe parentesco entre os pais?",simple,"[""Sim"", ""Não""]",false,true,dbd5b5c9-184b-4681-8563-8d1347ba0eaf
"Fala palavras erradas?",simple,"[""Sim"", ""Não""]",false,true,5c79c52e-7509-44d8-86f2-ed013d6678be
"Falou palavras claras antes de dois anos?",simple,"[""Sim"", ""Não""]",false,true,5c79c52e-7509-44d8-86f2-ed013d6678be
"Faz imitações de animais com frequência?",simple,"[""Sim"", ""Não""]",false,true,82babeea-b0a6-4259-b8ce-a0e69a1150dd
"Faz trocas de letras na fala?",simple,"[""Sim"", ""Não""]",false,true,5c79c52e-7509-44d8-86f2-ed013d6678be
"Faz uso de medicação?",simple,"[""Sim"", ""Não""]",false,true,90d21d07-bfe3-4a21-b585-a9fe9af100f7
